epoch,loss,lr,val_loss
0,0.28192204236984253,1e-04,0.2773360013961792
1,0.16839908063411713,1e-04,0.2861502766609192
2,0.1189875602722168,1e-04,0.2918887138366699
3,0.10081113874912262,1e-04,0.3028571605682373
4,0.08233235031366348,1e-04,0.29927942156791687
5,0.067986398935318,1e-04,0.2861087918281555
6,0.05979544669389725,1e-05,0.27493852376937866
7,0.05744512379169464,1e-05,0.2688835561275482
8,0.05672147125005722,1e-05,0.2571280002593994
9,0.05541832000017166,1e-05,0.26464998722076416
10,0.05388866364955902,1e-05,0.25486448407173157
11,0.05282993242144585,1e-05,0.24214181303977966
12,0.05174668878316879,1e-05,0.2487093061208725
13,0.05061397701501846,1e-05,0.22626329958438873
14,0.049617622047662735,1e-05,0.20713543891906738
15,0.04817630350589752,1e-05,0.19138845801353455
16,0.047960489988327026,1e-05,0.1623089611530304
17,0.046831000596284866,1e-05,0.1333567202091217
18,0.04583846405148506,1e-05,0.09721794724464417
19,0.0450340174138546,1e-05,0.07487940788269043
0,0.22301888465881348,1e-04,0.27241384983062744
1,0.1616797000169754,1e-04,0.2738885283470154
0,0.26241999864578247,1e-04,0.2839440703392029
1,0.1778041124343872,1e-04,0.2882276475429535
2,0.14271454513072968,1e-04,0.2893119156360626
3,0.11439226567745209,1e-04,0.28987178206443787
4,0.09457886219024658,1e-04,0.294745534658432
5,0.07986956089735031,1e-04,0.30035051703453064
6,0.07067109644412994,1e-05,0.2967698574066162
7,0.06836008280515671,1e-05,0.2961401343345642
8,0.06657159328460693,1e-05,0.2987850606441498
9,0.06528610736131668,1e-05,0.29601359367370605
10,0.0637068897485733,1e-05,0.28516751527786255
11,0.06254956871271133,1e-06,0.27890491485595703
12,0.0628553256392479,1e-06,0.2595433294773102
13,0.06268903613090515,1e-06,0.23654067516326904
14,0.06211160495877266,1e-06,0.2061065286397934
15,0.06288725882768631,1e-06,0.17788657546043396
16,0.061914972960948944,1e-06,0.14170879125595093
17,0.06173967942595482,1e-06,0.11373119056224823
18,0.061619579792022705,1e-06,0.09604371339082718
19,0.06136321276426315,1e-06,0.08109485357999802
0,0.4273678660392761,1e-08,0.36333534121513367
1,0.4252297878265381,1e-08,0.425171434879303
2,0.42632508277893066,1e-08,0.4285740852355957
3,0.4242010712623596,1e-08,0.4285227060317993
4,0.4246644675731659,1e-08,0.4280667304992676
5,0.42286550998687744,1e-08,0.4272424876689911
6,0.4228099286556244,1e-08,0.42720434069633484
7,0.42270803451538086,1e-08,0.4267432391643524
8,0.4189619719982147,1e-08,0.4254162907600403
9,0.418956458568573,1e-08,0.4248313903808594
10,0.41894492506980896,1e-08,0.4244278073310852
11,0.4174206256866455,1e-08,0.4235039949417114
12,0.4154869019985199,1e-08,0.42288079857826233
13,0.41601696610450745,1e-08,0.42175397276878357
14,0.41498300433158875,1e-08,0.4216442406177521
15,0.41358980536460876,1e-08,0.42125487327575684
16,0.4153684079647064,1e-08,0.4211948812007904
17,0.41336628794670105,1e-08,0.42000800371170044
18,0.41404205560684204,1e-08,0.41981104016304016
19,0.4105645418167114,1e-08,0.4187289774417877
0,0.4929850399494171,1e-05,0.49663591384887695
0,0.5896549224853516,1e-08,0.5114743709564209
